cultural group,context,goal,relation,actor,actor_behavior,recipient,recipient_behavior,other_descriptions,topic,agreement,num_support_bin,time_range,eval_whole_desc,eval_scenario,eval_persona,eval_question
South African,in South Africa,manage and purchase electricity,customer to provider,residents,purchase electricity in advance through prepayment or buying electricity when needed,utility providers,provide electricity,"electricity bills are not sent by mail, instead, residents buy electricity when they notice the numbers on their electricity box are running low",Environmental Adaptation and Sustainability,0.9,"[20, 30)","{2021: '[0, 10)', 2022: '[20, 30)', 2023: '[0, 10)'}","In South Africa, residents commonly manage their electricity usage by purchasing electricity in advance through prepayment or buying it when needed. This behavior is part of the customer-provider relationship with utility providers, who in turn provide the electricity. Unlike traditional billing systems, electricity bills are not sent by mail; instead, residents monitor the numbers on their electricity box and purchase electricity when they notice the levels are running low. This practice of prepayment or buying electricity as needed is widely regarded as the standard way of managing and purchasing electricity within the sampled population.",Travel Advising,"A curious and budget-conscious American tourist planning a trip to South Africa, eager to understand how to manage daily expenses and navigate local services",I'm planning a trip to South Africa and I'm trying to get a grasp on how things work there. I've heard that people manage their utilities a bit differently. Could you give me some tips on how to handle my electricity needs while I'm there? I'd like to make sure I'm not caught off guard and can manage my budget effectively.
South African,in various locations within South Africa,,,people of different racial backgrounds,speak and use Afrikaans language in daily life and education,,,Afrikaans is one of the 12 official languages in South Africa,Communication and Language,1.0,"[20, 30)","{2022: '[0, 10)', 2023: '[10, 20)'}","In various locations within South Africa, people of different racial backgrounds commonly speak and use the Afrikaans language in their daily lives and educational institutions. Afrikaans holds a significant position as one of the 12 official languages in South Africa, reflecting its widespread usage and acceptance within the country. This practice of utilizing Afrikaans as a primary language is considered a normative behavior among a significant portion of the sampled population, indicating its widespread acceptance and integration into the cultural fabric of South African society.",Travel Advising,"A globetrotting academic from the United States, planning to conduct research in South Africa and eager to immerse themselves in the local culture","I'm gearing up for a long-term research project in South Africa, and I'm really excited to get to know the locals and their everyday life. I've heard that there are quite a few official languages there, and I'm curious about the best ways to communicate with people in different settings. For instance, if I wanted to chat with someone about their daily life or ask for directions, what would be the most respectful and effective way to do so? I want to make sure I'm being mindful of cultural norms and not putting anyone in an uncomfortable situation."
South African,"in various settings including conversation, schools, and slang usage",,,people and teachers,"use unique slang terms like 'mense', 'jol', and 'braai', as well as other colloquial expressions",,,,Communication and Language,1.0,"[5, 20)","{2022: '[10, 20)', 2023: '[0, 10)'}","In various settings within South African culture, including conversations and schools, it is common for people and teachers to use unique slang terms such as 'mense', 'jol', 'braai', and other colloquial expressions. This distinctive slang usage is widely regarded as a normative and standard practice among the sampled population. The prevalence of these terms reflects the rich linguistic diversity and cultural vibrancy within South African society. This linguistic phenomenon is embraced and accepted by a significant portion of the sampled population, highlighting the widespread use and acceptance of these unique expressions in everyday communication.",Travel Advising,"A globetrotting American businessman planning a business trip to South Africa, eager to make a good impression on his colleagues and clients",I'm heading to South Africa for a big business meeting and I want to make sure I fit in with my colleagues and clients. I've heard they have a unique way of speaking and I don't want to sound out of place. Could you give me some tips on how to communicate effectively with them? I want to be respectful and show that I'm interested in their culture.
South African,in South Africa,,,people,"engage in alcohol consumption, often starting at a young age, with a legal drinking age of 18",,,includes opening drinks before paying and consuming non-alcoholic wine,Drinking and Alcohol,0.6,"[5, 20)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[0, 10)'}","In South Africa, it is common for people to engage in alcohol consumption, often beginning at a young age despite the legal drinking age being 18. This behavior includes practices such as opening drinks before paying and consuming non-alcoholic wine. Within the sampled population, a significant portion regards this early initiation into alcohol consumption as a relatively normative practice.",Travel Advising,"A curious and open-minded 17-year-old American exchange student preparing for a year-long stay in South Africa, eager to immerse themselves in the local culture and traditions","I'm getting ready for my big adventure in South Africa, and I've heard that people there really enjoy their drinks. I'm underage back home, but I'm curious about how things are done there. Could you give me some tips on what to expect and how to navigate these social situations without feeling out of place?"
South African,in Australia,,,people,"experience culture shock due to differences in fueling practices, including self-service and high petrol costs",,,,Migration and Cultural Adaptation,0.5,"[5, 20)","{2023: '[10, 20)'}","In Australia, individuals from the South African cultural group often experience culture shock due to differences in fueling practices, such as the prevalence of self-service and the high costs of petrol. This adjustment can be challenging for them as it deviates from the fueling customs they are accustomed to in South Africa. The sampled population is divided in their perception of this behavior, with an equal number considering it both normative and non-normative within the South African cultural group in Australia.",Travel Advising,"A first-time traveler from South Africa planning a road trip across Australia, excited yet overwhelmed by the prospect of navigating unfamiliar fueling practices",I'm planning a massive road trip around Australia and I've heard it's quite different from back home. I'm a bit worried about the whole self-service thing at the petrol stations. Any tips on how to make sure I don't end up stranded or confused? I don't want to feel like a total tourist!
South African,in South Africa and among South Africans abroad,,,people,"enjoy a diverse range of food, including local and international dishes like waffle burgers, tacos, and muesli, while also expressing a preference for South African food",,,,Food and Dining,0.8,"[5, 20)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[0, 10)'}","In South Africa, both within the country and among South Africans abroad, it is common for people to enjoy a wide variety of food, encompassing both local and international dishes. This includes a diverse culinary range such as waffle burgers, tacos, and muesli, alongside a strong preference for South African cuisine. This inclusive approach to food is widely regarded as a normative behavior within the sampled population, reflecting the cultural diversity and openness to different culinary influences.",Travel Advising,"An adventurous American foodie planning a trip to South Africa, eager to explore the local food scene but unsure about what to expect","I'm planning a trip to South Africa and I've heard their food is amazing, but I'm a bit overwhelmed by the variety. I'm a big fan of both local and international cuisine, and I've even tried some unique food combinations before. Can you give me some advice on what to expect in terms of food in South Africa? Should I stick to traditional dishes or is it normal to find a mix of local and international flavors?"
South African,family dynamics and social norms,,parent-child,children,"touch the gizzard is seen as disrespectful or inappropriate, often resulting in punishment",parents or guardians,teach children not to touch the gizzard,"historically, touching the gizzard was associated with punishment, but the practice is evolving",Social Norms and Etiquette,0.7,"[5, 20)","{2022: '[10, 20)'}","In South African family dynamics and social norms, children touching the gizzard, a behavior seen as disrespectful or inappropriate, is traditionally met with punishment. Parents or guardians actively teach children not to engage in this behavior, emphasizing its inappropriateness. Historically, touching the gizzard has been associated with disciplinary action, but there are indications of evolving attitudes towards this practice. Within the sampled population, a significant portion regards the prohibition of touching the gizzard as a common and expected aspect of parent-child interactions in South African culture.",Parenting Advice,"A newly immigrated South African parent living in the US, struggling to navigate the differences in child-rearing practices and unsure how to handle certain behaviors","I've noticed that my kids here in the US have picked up some behaviors that I'm not used to. For instance, they seem to be more hands-on with their food than I'm comfortable with. I'm trying to instill the same values I grew up with, but I'm not sure how to approach this without causing confusion or offense. Could you give me some advice on how to balance cultural expectations and parenting styles?"
South African,in South Africa,,,people and government,"engage in various financial practices, including paying for schooling, medical aid, and rent, while also providing free education and healthcare services",citizens,,"free education and healthcare are provided, with a 20-year waiting list for free homes",Finance and Economy,0.9,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In South Africa, both the people and the government engage in various financial practices, such as paying for schooling, medical aid, and rent, while also providing free education and healthcare services to citizens. Additionally, there is a 20-year waiting list for free homes, reflecting the complex dynamics of housing in the country. This approach to financial support and social welfare is widely regarded as normative within the sampled population. The provision of free education and healthcare, alongside the challenges related to housing, demonstrates the multifaceted nature of the financial and social support systems in South Africa, which is widely accepted by a significant portion of the sampled population.",Travel Advising,"A globetrotting consultant from the US, who is planning a year-long sabbatical in South Africa with their family and is keen on understanding the best ways to navigate the local financial systems to ensure a smooth transition for their family's needs.","I'm planning a long-term stay in South Africa with my family, and I'm curious about how we can best manage our financial needs while living there. We've heard about the importance of paying for essential services like schooling and medical aid, but I'm a bit confused about how to go about it. Could you provide some guidance on how to navigate the local financial systems to ensure we're making the right choices for our family?"
South African,education system,,,students,"attend 8 years of primary school, including Grade R, with 3 or 4 school terms",,,,Education and Technology,1.0,"[5, 20)","{2022: '[10, 20)', 2023: '[0, 10)'}","In the South African education system, students typically attend 8 years of primary school, which includes Grade R, and is divided into 3 or 4 school terms. This educational structure is widely regarded as the norm within the sampled population.",Travel Advising,"A curious and well-educated American family planning a year-long sabbatical in South Africa, eager to ensure their children receive the best possible education while abroad","We're planning to spend a year in South Africa and want to make sure our kids don't fall behind in their studies. We've heard a lot about the education system there, but we're a bit unsure about how the school terms work. Could you give us some insight into what a typical school year looks like for a family like ours? We'd love to know how we can best support our children's education while we're there."
South African,in South Africa and social interactions,show respect for time,between individuals,people,"value punctuality and have a relaxed attitude towards time, often using 'African time' to refer to a more flexible approach to scheduling",others,respect the agreed time or be late,"punctuality is valued but often not strictly adhered to, with a tendency to add an hour to the agreed time",Time Management and Punctuality,0.8,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)'}","In South Africa, social interactions reflect a cultural value placed on punctuality, while also embracing a relaxed attitude towards time. People often refer to a more flexible approach to scheduling as ""African time,"" showcasing a relaxed perception of time. The goal behind this behavior is to demonstrate respect for time, although punctuality is not strictly adhered to, with a tendency to add an hour to the agreed time. Within this cultural context, individuals are expected to either respect the agreed time or anticipate a delay. This approach to time is widely regarded as the norm by a significant portion of the sampled population, reflecting the prevalent acceptance of this more relaxed attitude towards punctuality.",Travel Advising,"A busy American business consultant planning a trip to South Africa for the first time, eager to make a good impression on their potential clients but concerned about navigating the local business etiquette around time management.","I'm gearing up for my first business trip to South Africa, and I've heard that things can be a bit more relaxed there compared to the US. I really want to make sure I don't come off as rude or disrespectful. Could you give me some tips on how to manage my time and meetings without causing any offense? Should I be more flexible with my schedule or is punctuality still a must?"
South African,social gatherings and family events,enjoy food and company,host to guests and family members,hosts and guests,"engage in braai, a South African term for barbecue, as a social activity and a way to enjoy food and company",guests and family members,participate in and enjoy braai,,Cultural Traditions and Festivals,0.9,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","During social gatherings and family events in South African culture, both hosts and guests actively engage in ""braai,"" which is a term for barbecue in South Africa. This communal activity serves as a way for people to come together, enjoy food, and foster a sense of camaraderie. The hosts take on the role of facilitating the braai, while the guests and family members participate in and relish the experience. This tradition of braai is widely regarded as a common and integral part of South African social life, with a significant portion of the sampled population acknowledging its importance.",Travel Advising,"An American food enthusiast planning a trip to South Africa for a family reunion, eager to connect with local traditions and make the event memorable for everyone","I'm planning a family reunion in South Africa and I'd love to make it a truly unique experience for everyone. We're a big family, and I've heard that food is a big part of the social gatherings there. Can you suggest some ways to incorporate local traditions and make our family reunion feel like a real South African celebration?"
South African,in South Africa,,,people,"laugh and express surprise, often due to perceived differences between South African and American culture",,,,Cultural Exchange,0.9,"[5, 20)","{2022: '[0, 10)', 2023: '[10, 20)'}","In South Africa, it is common for people to laugh and express surprise, often in response to perceived differences between South African and American culture. This behavior reflects the recognition of cultural distinctions and the amusement or astonishment that arises from these disparities. The sampled population widely regards this behavior as a typical and expected reaction within the South African cultural context.",Travel Advising,"A seasoned American traveler planning a trip to South Africa, eager to engage with locals and immerse in the culture, but unsure how to navigate potential cultural nuances and avoid misunderstandings","I'm getting ready for my first trip to South Africa, and I'm super excited to connect with the locals and learn more about their way of life. I've heard that people there are very friendly and open, but I also want to make sure I'm being respectful and not putting my foot in my mouth. Can you give me some tips on how to approach conversations and daily interactions so I can really get the most out of my trip without accidentally causing any offense?"
South African,in South Africa and the United States,,,people and South Africans,"value and prioritize car ownership, often preferring used cars for affordability and necessity, with a notable difference in car quality between the two countries",,,,Miscellaneous,0.6,"[5, 20)","{2022: '[0, 10)', 2023: '[10, 20)'}","In both South Africa and the United States, people, particularly South Africans, place a high value on car ownership, often opting for used cars due to their affordability and practicality. However, there is a noticeable variance in the quality of cars between the two countries. This emphasis on car ownership as a priority is a behavior that a significant portion of the sampled population in these cultural groups considers normal. It reflects the importance of mobility and independence, especially in regions where public transportation may be limited.",Travel Advising,"A savvy South African traveler planning a trip to the US for the first time, eager to navigate the local lifestyle and shopping habits","I'm planning my first trip to the US, and I've heard that shopping for cars is quite an experience over there. I've always valued a good deal, but I'm curious, how do people usually go about buying cars in the States? Are there any tips for finding the best deals, especially on used cars, that I should know about?"
South African,public school education,access to education and affordability,student to school,parents and students,pay school fees and argue about costs,schools,provide education and request documentation,varied fees and free education in certain areas,Finance and Economy,1.0,"[5, 20)","{2022: '[10, 20)', 2023: '[0, 10)'}","In the context of public school education in South Africa, parents and students are commonly observed engaging in the behavior of paying school fees and discussing the associated costs with the schools. This behavior is driven by the goal of ensuring access to education while addressing affordability concerns. In response, schools provide education and request necessary documentation from the students. The fees for education vary, and it is noteworthy that free education is available in certain areas. This practice is widely regarded as the standard within the sampled population, reflecting a high level of normativity in South African public school education.",Travel Advising,"A prospective American student considering studying abroad in South Africa, concerned about the costs of education","I'm thinking about studying abroad in South Africa, and I've heard a lot about the quality of the education there. However, I'm a bit worried about the financial side of things. Could you give me some insights on what to expect when it comes to the costs of studying in South Africa? Are there any ways to navigate the fees and make it more affordable?"
South African,in South Africa,,,people,"prefer buying bread pre-sliced or cutting it themselves using bread cutters, a practice that has been ongoing for over 15 years",,,,Food and Dining,0.9,"[5, 20)","{2021: '[0, 10)', 2023: '[0, 10)'}","In South Africa, it is a common practice for people to either purchase pre-sliced bread or use bread cutters to slice it themselves, a tradition that has persisted for over 15 years. This preference for pre-sliced bread or using bread cutters is widely regarded as the standard way of handling bread within the sampled population. This cultural norm reflects the convenience and practicality valued by a significant portion of the sampled population in South Africa.",Travel Advising,"An American expatriate planning a grocery shopping trip in South Africa, eager to adapt to local customs and navigate the supermarket with ease","I'm about to do some grocery shopping in South Africa and I've heard that people here are quite particular about their bread. I'm used to slicing my own at home, but I'm curious if there's a certain way or etiquette around how I should approach bread shopping over there. Should I be looking for pre-sliced options or is it common to bring my own slicer? I want to make sure I'm respecting local preferences."
South African,in bathrooms and showers,,,people,"use a variety of towels and cloths for different purposes, including hand towels, bath towels, bath sheets, wash cloths, sponges, and face cloths",,,showers are often in tubs or wet rooms,Health and Hygiene,1.0,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In South African bathrooms and showers, it is customary for people to use a diverse range of towels and cloths for different purposes, such as hand towels, bath towels, bath sheets, wash cloths, sponges, and face cloths. Showers are often situated in tubs or wet rooms, reflecting the practical and functional approach to bathing. This practice of utilizing various towels and cloths for specific functions is widely regarded as the standard within the sampled population.",Travel Advising,"A meticulous American traveler planning a trip to South Africa, concerned about maintaining their personal hygiene and cleanliness during their stay","I'm getting ready for my first trip to South Africa, and I'm a bit of a stickler when it comes to cleanliness and personal hygiene. I've heard that bathrooms and showers are quite unique there. Could you give me some tips on what to expect and how to best prepare for my daily routine so I can feel right at home in terms of cleanliness?"
South African,in South Africa and Africa,,,"people, including residents and tourists","perceive and express varying levels of safety, with South Africa often considered safer than other African countries",,,"safety perceptions are influenced by personal experiences and rankings, but concerns about safety still exist",Safety and Security,0.6,"[5, 20)","{2022: '[10, 20)'}","In South Africa and across Africa, both residents and tourists exhibit varying perceptions and expressions of safety, with South Africa often being viewed as safer than other African countries. These safety perceptions are influenced by personal experiences and rankings, contributing to a complex landscape of safety considerations. While South Africa is generally perceived as relatively safe, concerns about safety still persist among a significant portion of the sampled population. This nuanced perspective reflects the diverse range of safety experiences and rankings within the region, shaping the overall perception of safety in South Africa and Africa.",Travel Advising,"A concerned mother planning a family trip to South Africa with her children, eager to ensure their safety and well-being throughout the journey","I'm planning a family trip to South Africa, and I've heard mixed things about safety there. Some people say it's safer than other African countries, while others express concerns about safety. As a mother, I want to make sure we're prepared and safe during our travels. Could you give me some tips on how to navigate the local safety landscape and put our minds at ease?"
South African,in Thailand,,,people,"find it surprising and challenging to locate trash and trash bins, yet strive to do the right thing",,,,Environmental Adaptation and Sustainability,0.7,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In Thailand, South African individuals often express surprise and difficulty in locating trash and trash bins, despite their efforts to dispose of waste responsibly. This behavior is perceived as somewhat unexpected within the local context, as the availability and accessibility of trash bins may differ from what they are accustomed to in their home country. Despite this challenge, a significant portion of the sampled population acknowledges their efforts to do the right thing. This behavior is regarded as relatively common among the sampled population, reflecting a notable level of normativity within this cultural group in the given context.",Travel Advising,"A curious and environmentally-conscious traveler from South Africa planning a trip to Thailand, eager to respect and adapt to local customs","I'm really excited about my upcoming trip to Thailand, and I've always been pretty good about keeping the environment clean. Back home, I'm used to having plenty of trash bins around, but I've heard it's a bit different there. Can you give me some tips on what to do when I need to dispose of my trash while I'm out and about? I want to make sure I'm respecting the local ways and not causing any inconvenience."
South African,in Cape Town and surrounding areas,,,people and residents,"engage in various activities, including living, working, and interacting with the environment, often with a focus on safety and personal connections",,,"includes references to seasons, safety concerns, and personal connections to the city",Community and Identity,1.0,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In Cape Town and surrounding areas, people and residents are commonly observed engaging in various activities such as living, working, and interacting with the environment, with a strong emphasis on safety and personal connections. This behavior is often influenced by the distinct seasons, safety concerns, and the deep personal connections individuals have with the city. The sampled population widely regards this approach as the standard way of life, reflecting a strong sense of cultural normativity.",Travel Advising,"A first-time traveler to Cape Town, eager to explore the city's vibrant neighborhoods and engage with locals, but concerned about safety and navigating the city's unique cultural norms","I'm planning my first trip to Cape Town and I'm really excited to get to know the city and its people. I've heard a lot about the strong sense of community here. Could you give me some tips on how to safely and respectfully immerse myself in the local lifestyle? I want to make sure I'm not missing out on any of the city's hidden gems, but I also want to be mindful of my safety and the local customs."
